Case Number,Type,Status,Project Name,Issued Date,Applied Date,Expiration Date,Finalized Date,Module Name,Address,Main Parcel,Description
"BLDC-2023-021248","Building Commercial - Demolition","Finaled","","06/12/2024","12/19/2023","12/09/2024","06/13/2024","Permit","21625  RED RUM DR  ASHBURN VA 20147","088381788000","Demolition of an existing building. Used to be Gold's Gym. electronic copy"
"BLDC-2023-021576","Building Commercial - Alteration","Issued","","02/16/2024","12/21/2023","08/14/2024","","Permit","21310  BEAUMEADE CIR  ASHBURN VA 20147","061303369000","Removal of an existing non load bearing wall to increase the size of the room for future equipment."
"BLDC-2024-000479","Building Commercial - New Construction","In Review","","05/16/2024","01/04/2024","12/31/2026","","Permit","42010  GROWTH MINDSET LN  ALDIE VA 20105","203354208000","Buiding permit for Core and Shell buildout of the IAD13 Data Center."
"BLDC-2024-000500","Building Commercial - New Construction","In Review","","06/25/2024","01/04/2024","12/31/2026","","Permit","42031  GROWTH MINDSET LN  ALDIE VA 20105","203354208000","Building permit for core and shell buildout of the IAD12 Data Center"
"BLDC-2024-000861","Building Commercial - New Construction","Issued","","08/27/2024","01/05/2024","10/05/2026","","Permit","41785  INCLUSION LN  LEESBURG VA 20175","235297431000","Data Center - Core and Shell"
"BLDC-2024-001178","Building Commercial - Alteration","Finaled","","02/28/2024","01/08/2024","02/03/2025","08/06/2024","Permit","22291  SHELLHORN RD  ASHBURN VA 20147","089100937000","Replacement of lighting inverter in electric room"
"BLDC-2024-001396","Building Commercial - New Construction","Issued","","08/27/2024","01/10/2024","10/05/2026","","Permit","41785  INCLUSION LN  LEESBURG VA 20175","235297431000","Data Center - Administrative office fit-out"
"BLDC-2024-001400","Building Commercial - New Construction","Issued","","08/27/2024","01/10/2024","10/05/2026","","Permit","41785  INCLUSION LN  LEESBURG VA 20175","235297431000","Data Center - Data Hall fit-out"
"BLDC-2024-001409","Building Commercial - New Construction","Issued Certificate of Occupancy","","08/27/2024","01/10/2024","01/04/2027","07/09/2026","Permit","41785  INCLUSION LN  LEESBURG VA 20175","235297431000","Data Center - Data Hall fit-out"
"BLDC-2024-001417","Building Commercial - New Construction","Finaled","","08/27/2024","01/10/2024","10/19/2026","04/23/2026","Permit","41785  INCLUSION LN  LEESBURG VA 20175","235297431000","Data Center - Data Hall fit-out"
"BLDC-2024-001425","Building Commercial - New Construction","Issued","","08/27/2024","01/10/2024","11/17/2026","","Permit","41785  INCLUSION LN  LEESBURG VA 20175","235297431000","Data Center - Data Hall fit-out"
"BLDC-2024-001431","Building Commercial - New Construction","Issued","","08/27/2024","01/10/2024","02/16/2027","08/21/2026","Permit","41785  INCLUSION LN  LEESBURG VA 20175","235297431000","Data Center - Data Hall fit-out"
