Region,Reg #,Facility Name,Classification,FIPS,County,SIC,NAICS,CO Emissions in Tons,NH3 Emissions in Tons,NO2 Emissions in Tons,PM 10 Emissions in Tons,PM 2.5 Emissions in Tons,SO2 Emissions in Tons,VOC Emissions in Tons,Facility Total
PRO,52448,Tri City Regional Disposal and Recycling Services,Synthetic Minor,730,Petersburg City,4953,562212,3.19,0.00,0.00,0.00,2.74,22.83,2.46,31.23
SWRO,10050,General Dynamics OTS Inc - Plant #1,Major/Potential Major,173,Smyth County,3728,336413,3.97,0.00,4.77,1.16,80.68,1.97,1.96,94.51
SWRO,10060,Ball Metal Beverage Container Corporation - Bristol,Synthetic Minor,520,Bristol City,3411,332431,0.48,0.00,0.58,0.00,21.33,0.04,0.00,22.44
SWRO,10190,W-L Construction - Abingdon Asphalt Plant,Synthetic Minor,191,Washington County,2951,324121,5.66,0.00,2.39,15.32,1.39,0.00,0.00,24.76
SWRO,10200,Jewell Coke Company LLP,Major/Potential Major,027,Buchanan County,3312,324199,58.71,0.00,515.81,4844.65,52.73,768.66,0.56,6241.10
SWRO,10211,Strongwell Corporation/Bristol Division,Major/Potential Major,520,Bristol City,3089,326199,0.57,0.00,0.68,0.00,18.18,0.15,0.00,19.58
SWRO,10236,American Electric Power-Clinch River Plant,Major/Potential Major,167,Russell County,4911,221112,51.21,0.00,805.21,2059.32,6.05,111.91,46.78,3080.48
SWRO,10244,General Shale Brick Inc,Synthetic Minor,173,Smyth County,3251,327120,23.32,0.00,14.87,66.87,0.70,18.17,0.00,123.93
SWRO,10273,Turman Hardwood Flooring Inc.,Synthetic Minor,640,Galax City,2426,321918,25.63,0.00,7.27,1.02,19.15,4.98,0.00,58.06
SWRO,10302,Webb Furniture Enterprises LLC# 4,Synthetic Minor,640,Galax City,3231,327215,0.04,0.00,0.17,0.51,22.90,0.01,0.00,23.64
SWRO,10308,Vaughan-Bassett Furniture Company,Major/Potential Major,640,Galax City,2511,337122,41.36,0.00,35.21,7.98,621.42,12.32,11.57,729.86
SWRO,10332,Vaughan Bassett Furniture Co Galax Plant #2,Major/Potential Major,640,Galax City,2511,337122,0.81,0.00,0.92,1.15,12.05,1.22,1.17,17.32
SWRO,10333,Universal Fibers Inc.,Synthetic Minor,191,Washington County,2824,325220,2.69,0.00,3.20,0.02,30.87,6.02,0.00,42.79
SWRO,10391,VDOC - Bland Correctional Center,Synthetic Minor,021,Bland County,9223,922140,12.91,0.00,12.14,27.33,1.78,0.79,0.00,54.96
SWRO,10410,Quadrant Engineering Plastic Products,Synthetic Minor,197,Wythe County,3089,326199,0.15,0.00,0.17,0.00,24.00,0.02,0.00,24.35
SWRO,10425,W-L Construction & Paving Inc,Synthetic Minor,185,Tazewell County,2951,324121,10.11,0.00,3.13,0.21,0.22,0.25,0.00,13.92
SWRO,10581,VFP Incorporated/Concrete Shelter Division,Synthetic Minor,169,Scott County,3272,327390,0.08,0.00,0.37,0.71,12.26,0.29,0.00,13.71
SWRO,10700,General Dynamics OTS Inc - Plants #s 2 & 3,Synthetic Minor,173,Smyth County,3728,336413,1.12,0.00,1.40,0.01,10.18,0.96,0.00,13.66
SWRO,10753,Riggs Oil Company Incorporated/Big Stone Gap 1,True Minor,195,Wise County,5171,424710,0.00,0.00,0.00,0.00,39.67,0.00,0.00,39.67
SWRO,10804,"Dickenson-Russell Contura, LLC/McClure River Prep Plant",Major/Potential Major,051,Dickenson County,1221,212111,3.07,0.00,30.53,5.20,75.39,10.90,0.04,125.14
SWRO,10814,ABB Inc.,Synthetic Minor,021,Bland County,3612,335311,0.00,0.00,0.00,0.00,57.45,0.04,0.00,57.48
SWRO,10837,Wellmore #8,Synthetic Minor,027,Buchanan County,1221,212111,0.00,0.00,0.00,0.00,30.40,3.03,0.00,33.43
SWRO,10846,Highlands Petroleum Oil Corporation,True Minor,191,Washington County,5171,424710,0.00,0.00,0.00,0.00,11.80,0.00,0.00,11.80
SWRO,10893,Paramont Coal Co. Virginia LLC,Synthetic Minor,195,Wise County,1221,212111,0.00,0.00,0.00,0.00,33.01,3.83,0.00,36.83
SWRO,10905,Knox Creek Coal Corporation,Synthetic Minor,185,Tazewell County,1221,212111,0.00,0.00,0.00,0.00,17.77,1.50,0.00,19.27
SWRO,10945,Buchanan Preparation Plant Facility,Major/Potential Major,027,Buchanan County,1221,212111,54.96,0.00,22.60,0.02,76.36,359.02,17.20,530.16
SWRO,10950,Lone Mountain Processing,Synthetic Minor,105,Lee County,1221,212111,0.00,0.00,0.00,0.00,17.49,4.18,0.00,21.67
SWRO,10990,Adams Construction Company,Synthetic Minor,197,Wythe County,2951,324121,10.19,0.00,1.11,9.07,2.44,2.69,0.00,25.50
SWRO,10998,East Tennessee Natural Gas Company/Rural Retreat,Synthetic Minor,197,Wythe County,4922,486210,12.54,0.00,10.30,1.05,1.47,0.74,0.00,26.09
SWRO,11001,EQT Gathering LLC - Station A,True Minor,195,Wise County,4922,486210,10.79,0.00,7.14,0.00,0.31,0.00,0.00,18.23
SWRO,11002,EQT Gathering LLC -Station B,True Minor,195,Wise County,4922,486210,11.35,0.00,7.51,0.00,0.32,0.00,0.00,19.19
SWRO,11003,EQT Gathering LLC- Sta H2 - 11003P,True Minor,195,Wise County,4922,486210,11.36,0.00,7.51,0.00,0.32,0.00,0.00,19.19
SWRO,11019,"Hutchinson Sealing Systems North Amer, Inc.",Synthetic Minor,197,Wythe County,3061,326291,0.00,0.00,0.00,0.00,12.60,0.03,0.00,12.63
SWRO,11046,East Tennessee Natural Gas Co-Station 3401,Major/Potential Major,051,Dickenson County,4922,486210,56.50,0.00,95.44,0.13,44.43,10.36,10.36,217.22
SWRO,11072,Utility Trailer Manufacturing Company - Atkins,Synthetic Minor,173,Smyth County,3715,336212,0.00,0.00,0.00,0.00,71.10,0.01,0.00,71.11
SWRO,11074,Appalachian Plastics Incorporated,Major/Potential Major,191,Washington County,3089,326199,0.00,0.00,0.00,0.00,20.79,0.00,0.00,20.79
SWRO,11084,Woodgrain Millwork Incorporated,Synthetic Minor,173,Smyth County,2431,321918,26.94,0.00,15.54,1.07,24.37,17.41,0.00,85.32
SWRO,11085,Consolidated Glass & Mirror Corporation - Jack Guynn Dr,Major/Potential Major,640,Galax City,3231,327215,0.07,0.00,0.26,0.03,67.32,0.04,0.00,67.72
SWRO,11096,Range Resources Pine Mtn - Conway,True Minor,027,Buchanan County,1311,211111,10.00,0.00,7.90,0.00,2.42,0.00,0.00,20.32
SWRO,11105,Klockner Pentaplast,Synthetic Minor,197,Wythe County,3081,326113,0.67,0.00,0.93,0.02,13.09,0.10,0.00,14.80
SWRO,11134,Turman Sawmill Inc,Synthetic Minor,035,Carroll County,2421,321113,17.71,0.00,6.96,0.79,12.65,1.13,0.26,39.49
SWRO,11146,B A Mullican Lumber & Manufacturing Company Incorp,Synthetic Minor,195,Wise County,2426,321918,20.27,0.00,3.45,0.38,7.10,16.40,0.00,47.60
SWRO,11149,EQT Gathering LLC-Comp I1- 11149P,Synthetic Minor,195,Wise County,4922,486210,12.41,0.00,8.21,0.00,1.03,0.00,0.00,21.65
SWRO,11184,Bristol Virginia Integrated Solid Waste Facility,True Minor,520,Bristol City,4953,562213,10.48,0.00,2.80,1.11,11.82,5.28,1.94,33.43
SWRO,11207,Strongwell Highlands,Major/Potential Major,191,Washington County,3083,326130,0.29,0.00,0.34,0.00,11.45,0.09,0.00,12.17
SWRO,11227,EQT Gathering LLC-Comp I3- 11227P,Synthetic Minor,195,Wise County,4922,486210,12.28,0.00,8.13,0.00,4.07,0.00,0.00,24.48
SWRO,11229,Range Resources Pine Mtn Inc-Hatchet Branch,True Minor,051,Dickenson County,4922,486210,15.63,0.00,10.34,0.00,5.18,0.00,0.00,31.16
SWRO,11272,Range Resources Pine Mtn Inc-Wampler Ridge 1,True Minor,051,Dickenson County,1311,211111,1.82,0.00,22.68,0.02,0.33,0.00,0.00,24.86
SWRO,11340,Musser Lumber Company Inc,Synthetic Minor,197,Wythe County,2421,321912,16.99,0.00,14.60,0.70,3.23,4.79,0.00,40.30
SWRO,11344,Utility Trailer Manufacturing Company - Glade Spring,Synthetic Minor,191,Washington County,3715,336212,0.00,0.00,0.00,0.00,58.20,0.02,0.00,58.22
SWRO,11348,"Wolf Hills Energy, LLC",Major/Potential Major,191,Washington County,4911,221112,8.13,0.00,51.40,0.60,1.20,6.61,6.61,74.55
SWRO,11370,Paramont Mfg LLC,Synthetic Minor,191,Washington County,3061,326291,0.00,0.00,0.00,0.00,73.62,0.08,0.00,73.70
SWRO,11377,Range Resources Pine Mtn Inc-Ramsey Ridge,Synthetic Minor,051,Dickenson County,1311,211111,10.89,0.00,7.86,0.00,2.42,0.00,0.00,21.17
SWRO,11390,"Buchanan Generation, LLC",Major/Potential Major,027,Buchanan County,4911,221112,11.70,0.00,30.50,0.23,0.82,2.58,2.58,48.41
SWRO,11401,Continuum Midstream LLC,True Minor,105,Lee County,1311,211111,48.45,0.00,48.69,0.00,7.25,0.00,0.00,104.39
SWRO,11471,EQT Gathering LLC - Sta C2- 11471P,Synthetic Minor,195,Wise County,4922,486210,9.87,0.00,12.47,0.00,3.08,0.00,0.00,25.42
SWRO,11473,Range Resources Pine Mtn Inc -Smith Ridge 2,True Minor,051,Dickenson County,4922,486210,0.80,0.00,14.24,0.00,3.55,0.00,0.00,18.59
SWRO,11474,EnerVest Operating LLC,True Minor,027,Buchanan County,4922,486210,9.89,0.00,12.37,0.00,3.09,0.00,0.00,25.35
SWRO,11475,Range Resources Pine Mtn Inc - Abner Gap 2,True Minor,051,Dickenson County,4922,486210,11.60,0.00,14.49,0.00,3.62,0.00,0.00,29.71
SWRO,11476,Range Resources Pine Mtn Inc- Nancy Station2,True Minor,051,Dickenson County,4922,486210,11.87,0.00,14.83,0.00,3.71,0.00,0.00,30.41
SWRO,11484,Independence Lumber Inc,Synthetic Minor,077,Grayson County,1423,212313,27.83,0.00,10.20,1.16,8.93,10.04,0.00,58.16
SWRO,11497,Range Resources Pine Mtn-Birchleaf Compressor,Synthetic Minor,051,Dickenson County,1311,211111,51.13,0.00,68.15,0.00,23.71,1.54,0.00,144.53
SWRO,11526,Dominion - Virginia City Hybrid Energy Center,Major/Potential Major,195,Wise County,4911,221112,908.52,0.00,974.94,100.40,10.52,199.55,173.57,2367.50
SWRO,11532,Range Resources - Pine Mtn - Wakenva Station,True Minor,051,Dickenson County,1311,211111,8.81,0.00,27.20,0.00,11.04,1.25,0.00,48.30
SWRO,11536,Range Resources Pine Mtn Inc-Liberty 1,True Minor,051,Dickenson County,4923,486210,0.90,0.00,22.55,0.00,4.62,0.00,0.00,28.07
SWRO,11537,Range Resources Pine Mtn Inc-Liberty 2,True Minor,051,Dickenson County,4923,486210,1.33,0.00,33.08,0.00,6.78,0.00,0.00,41.19
SWRO,11546,Range Resources Pine Mtn Inc  - Nancy 3,True Minor,051,Dickenson County,4923,486210,3.79,0.00,18.91,0.00,1.95,0.00,0.00,24.66
SWRO,11547,Range Resources Pine Mtn Inc Hurricane Crk3,True Minor,027,Buchanan County,4923,486210,3.58,0.00,17.89,0.00,1.85,0.00,0.00,23.32
SWRO,11548,Range Resources Pine Mtn Lick Crk 3,True Minor,051,Dickenson County,4923,486210,2.84,0.00,14.21,0.00,1.52,0.00,0.00,18.57
SWRO,11594,Range Resources Pine Mtn Ramsey Ridge,Synthetic Minor,051,Dickenson County,1311,211111,3.83,0.00,19.06,0.00,2.02,0.00,0.00,24.92
SWRO,11596,Range Resources Pine Mtn- Sandy Ridge 4,True Minor,051,Dickenson County,4923,486210,0.53,0.00,14.89,0.00,6.40,0.00,0.00,21.82
SWRO,11598,Carroll-Grayson Galax Solid Waste Authority,True Minor,035,Carroll County,4953,562211,0.67,0.00,0.00,0.00,1.56,27.81,2.78,32.82
SWRO,11610,Range Resources Pine Mtn - Wampler Ridge 4,True Minor,051,Dickenson County,1311,211111,0.55,0.00,15.48,0.00,6.63,0.00,0.00,22.66
SWRO,11701,Range Resources-Pine Mountain Inc,Synthetic Minor,051,Dickenson County,1389,213112,41.26,0.00,44.62,0.00,5.81,0.00,0.00,91.69
SWRO,11717,Range Resources -Pine Mtn Inc-Booster St,Synthetic Minor,051,Dickenson County,1389,213112,29.93,0.00,6.16,0.00,3.20,0.00,0.00,39.29
SWRO,11726,Tazewell Landfill Development LLC,True Minor,185,Tazewell County,4953,562211,5.14,0.00,0.00,0.00,0.00,29.32,0.00,34.46
TRO,40333,Tyson Farms Inc - Temperanceville,Major/Potential Major,001,Accomack County,2015,311615,7.90,0.00,86.13,112.60,0.67,14.51,14.33,236.14
TRO,40483,Valley Proteins - Accomac Division,True Minor,001,Accomack County,2013,311613,3.08,0.00,39.20,24.84,6.67,9.98,0.14,83.92
TRO,40602,Calpine Mid-Atlantic Generation LLC - Bayview,Major/Potential Major,131,Northampton County,4911,221112,0.34,0.00,73.00,0.01,2.05,1.31,0.00,76.70
TRO,40722,KMX Chemical Corporation,Synthetic Minor,001,Accomack County,2869,325193,0.99,0.00,4.76,4.23,17.69,0.46,0.00,28.13
TRO,40898,Commonwealth Chesapeake Power Station,Major/Potential Major,001,Accomack County,4911,221112,29.30,0.00,95.35,6.29,1.27,8.06,0.00,140.27
TRO,60016,Arc Terminals Holdings LLC,Synthetic Minor,550,Chesapeake City,4226,493190,0.00,0.00,0.00,0.00,19.05,0.00,0.00,19.05
TRO,60027,Branscome Inc - Hampton - Pembroke Ave,Synthetic Minor,650,Hampton City,2951,324121,11.75,0.00,4.97,0.31,2.89,0.80,0.00,20.72
TRO,60030,Virginia Paving Company Div Lane Const Corp,Synthetic Minor,810,Virginia Beach City,2951,324121,22.06,0.00,4.66,0.56,5.43,1.51,0.00,34.22
TRO,60033,US Navy - Joint Expeditionary Base - Little Creek,Major/Potential Major,810,Virginia Beach City,9711,928110,7.62,0.00,30.31,1.30,11.46,2.23,2.05,54.96
TRO,60050,"Kinder Morgan/Elizabeth River Terminals, LLC",Synthetic Minor,550,Chesapeake City,4491,488320,0.00,0.00,0.00,0.00,0.00,23.51,0.00,23.51
TRO,60051,US NASA - Langley Research Center,Synthetic Minor,650,Hampton City,9661,927110,15.45,0.00,13.48,0.13,1.89,1.43,1.27,33.65
TRO,60059,US Air Force Base Langley,Synthetic Minor,650,Hampton City,9711,928110,11.86,0.00,18.65,0.65,6.98,1.40,1.21,40.76
TRO,60063,Birdsong Peanut Company - Suffolk,Synthetic Minor,800,Suffolk City,0723,115114,0.00,0.00,0.00,0.00,0.00,30.54,0.00,30.54
TRO,60065,Ball Metal Beverage Container Corporation-Williamsburg,Major/Potential Major,095,James City County,3411,332431,6.56,0.00,7.87,0.05,331.37,1.87,0.00,347.72
TRO,60069,Kinder Morgan - South Hill Terminal,Synthetic Minor,550,Chesapeake City,4226,493190,0.04,0.00,1.02,0.00,19.01,0.00,0.00,20.08
TRO,60077,Kerneos Incorporated,Synthetic Minor,550,Chesapeake City,3297,327120,3.34,0.00,66.87,0.00,0.32,46.58,0.00,117.11
TRO,60085,Archer Daniels Midland Company - Ag Services,True Minor,800,Suffolk City,0723,115114,0.00,0.00,0.00,0.00,0.00,10.43,0.00,10.43
TRO,60102,The Scoular Company,True Minor,093,Isle of Wight County,5153,424510,0.06,0.00,0.10,0.00,0.00,18.59,0.00,18.74
TRO,60106,Hampton University,Synthetic Minor,650,Hampton City,8221,611310,7.00,0.00,15.39,1.19,0.68,0.81,0.11,25.19
TRO,60108,Colonnas Shipyard Inc,Major/Potential Major,710,Norfolk City,3731,336611,1.89,0.00,8.38,0.00,45.82,7.93,0.74,64.77
TRO,60116,Plains Marketing LP Yorktown,Major/Potential Major,199,York County,5171,424710,17.44,0.00,6.92,0.00,646.41,0.00,0.00,670.77
TRO,60137,Dominion - Yorktown Power Station,Major/Potential Major,199,York County,4911,221112,85.53,0.00,1047.15,4549.34,12.10,189.84,46.85,5930.80
TRO,60141,US Department of Veterans Affairs Medical Ctr,Synthetic Minor,650,Hampton City,9451,923140,6.59,0.00,11.25,0.29,0.55,0.70,0.00,19.39
TRO,60152,Anheuser-Busch LLC - Williamsburg Brewery,Major/Potential Major,095,James City County,2082,312120,31.24,0.00,38.21,3.48,119.77,4.55,2.94,200.20
TRO,60153,Huntington Ingalls Incorporated - NN Shipbldg Div,Major/Potential Major,700,Newport News City,3731,336611,38.03,0.00,236.69,351.13,228.88,44.75,9.22,908.70
TRO,60158,College of William and Mary,Synthetic Minor,830,Williamsburg City,8221,611310,11.55,0.00,14.16,0.08,0.76,1.06,0.00,27.62
TRO,60161,Citgo Petroleum Chesapeake Terminal,Synthetic Minor,550,Chesapeake City,5171,424710,4.07,0.00,1.72,0.00,34.48,0.00,0.00,40.27
TRO,60164,Sentara Norfolk General Hospital,Synthetic Minor,710,Norfolk City,4961,221330,11.94,0.00,15.49,1.15,0.80,1.27,1.09,31.75
TRO,60180,Norfolk Southern - Lamberts Point,Synthetic Minor,710,Norfolk City,4011,482111,0.02,0.00,0.07,0.12,0.00,22.50,0.00,22.71
TRO,60188,Solenis LLC,Major/Potential Major,175,Southampton County,2861,325194,13.38,0.00,8.22,0.52,5.16,1.24,1.23,29.76
TRO,60208,Mica Company of Canada Inc,Major/Potential Major,700,Newport News City,3299,327999,0.17,0.00,0.21,0.01,32.14,0.02,0.00,32.55
TRO,60214,International Paper - Franklin Mill,Major/Potential Major,093,Isle of Wight County,2621,322121,412.03,0.00,488.14,263.67,271.31,430.91,145.25,2011.33
TRO,60231,Cameron Chemical Inc,Synthetic Minor,800,Suffolk City,2875,325314,0.00,0.00,0.00,0.00,0.00,12.84,0.00,12.84
TRO,60234,U S Gypsum Company,Major/Potential Major,710,Norfolk City,3275,327420,9.56,0.00,9.54,0.15,7.45,74.92,0.00,101.62
TRO,60242,TransMontaigne Product Services Inc - Norfolk Terminal,Major/Potential Major,550,Chesapeake City,4226,493190,4.86,0.00,1.33,0.03,60.94,0.01,0.00,67.17
TRO,60246,BAE Systems Norfolk Ship Repair Inc,Major/Potential Major,710,Norfolk City,3731,336611,5.32,0.00,8.12,0.04,22.44,12.47,0.07,48.46
TRO,60270,Smithfield Packing Co Inc - Complex - Smithfield,Major/Potential Major,093,Isle of Wight County,2011,311611,15.47,0.00,17.74,0.72,7.95,6.64,6.56,55.09
TRO,60274,Kinder Morgan Southeast Terminals LLC - Chesapeake,Synthetic Minor,550,Chesapeake City,4226,493190,0.00,0.00,0.00,0.00,38.84,0.00,0.00,38.84
TRO,60277,Perdue AgriBusiness - Chesapeake,Major/Potential Major,550,Chesapeake City,2075,311224,29.06,0.00,19.45,0.21,380.90,66.59,3.93,500.14
TRO,60293,US Navy - Naval Medical Center Portsmouth,Major/Potential Major,740,Portsmouth City,8062,622110,9.74,0.00,16.48,0.08,0.78,1.16,0.00,28.25
TRO,60294,US Navy Naval Air Station Oceana,Major/Potential Major,810,Virginia Beach City,9711,928110,44.08,0.00,42.01,1.25,33.10,11.92,0.11,132.47
TRO,60302,Blair Brothers Incorporated,Synthetic Minor,800,Suffolk City,2951,324121,14.39,0.00,5.39,10.00,4.97,3.76,0.00,38.51
TRO,60333,Joint Base Langley Eustis,Synthetic Minor,700,Newport News City,9711,928110,13.47,0.00,21.38,0.13,6.92,2.05,1.33,45.29
TRO,60349,HRSD Army Base Sewage Treatment Plant,Major/Potential Major,710,Norfolk City,4952,221320,30.27,0.00,4.95,46.80,5.26,0.02,0.00,87.30
TRO,60350,HRSD Virginia Initiative Plant,Major/Potential Major,710,Norfolk City,4952,221320,113.31,0.00,25.09,173.72,17.56,0.82,0.00,330.50
TRO,60351,HRSD - Boat Harbor Sewage Treatment Plant,Major/Potential Major,700,Newport News City,4952,221320,104.81,0.00,17.39,162.82,11.25,0.57,0.00,296.85
TRO,60355,HRSD - Williamsburg Sewage Treatment Plant,Major/Potential Major,095,James City County,4952,221320,84.84,0.00,14.47,131.19,7.87,0.02,0.00,238.39
TRO,60401,Colonial Williamsburg Foundation,Synthetic Minor,830,Williamsburg City,7999,713990,7.57,0.00,10.77,0.05,0.65,0.72,0.00,19.77
TRO,60431,HRSD Chesapeake-Elizabeth Sewage Treatment Plant,Major/Potential Major,810,Virginia Beach City,4952,221320,98.42,0.00,17.83,151.64,12.83,0.50,0.00,281.22
TRO,60476,Continental Automotive Systems US Incorporated,Synthetic Minor,700,Newport News City,3714,336310,0.93,0.00,0.89,0.02,38.42,0.06,0.00,40.33
TRO,60583,Fleet & Industrial Supply Center,Synthetic Minor,740,Portsmouth City,5171,424710,0.16,0.00,0.73,0.00,20.49,0.06,0.04,21.47
TRO,60611,Branscome Inc - Lee Hall,Synthetic Minor,095,James City County,2951,324121,12.45,0.00,0.00,11.82,15.52,6.16,0.00,45.96
TRO,60636,Howmet Casting and Services Incorporated,Synthetic Minor,650,Hampton City,3369,331529,15.25,0.00,19.60,0.11,22.24,18.91,1.37,77.47
TRO,60912,Kinder Morgan - Norfolk Terminal,Synthetic Minor,710,Norfolk City,4226,493190,0.02,0.00,0.09,0.03,11.64,0.01,0.00,11.79
TRO,60920,Buckeye Terminals LLC - Chesapeake Terminal,Synthetic Minor,550,Chesapeake City,5171,424710,1.15,0.00,2.45,0.01,37.72,0.16,0.00,41.49
TRO,60923,Owens-Brockway Glass Container Inc,Major/Potential Major,095,James City County,3221,327213,5.65,0.00,406.65,261.65,5.98,16.89,16.18,713.00
TRO,60927,Swimways Corporation,Synthetic Minor,810,Virginia Beach City,3086,326150,0.13,0.00,0.16,0.00,27.42,0.01,0.00,27.73
TRO,60941,US Navy Norfolk Naval Base-Sewells Point,Major/Potential Major,710,Norfolk City,9711,928110,68.88,0.00,99.77,14.70,77.11,16.57,0.21,277.23
TRO,60957,US Navy - Naval Support Act Hampton Roads NW Annex,Synthetic Minor,550,Chesapeake City,9711,928110,2.26,0.00,10.45,0.07,2.51,0.78,0.76,16.83
TRO,60959,HRSD Atlantic Sewage Treatment Plant,Synthetic Minor,810,Virginia Beach City,4952,221320,27.63,0.00,10.90,13.90,17.48,0.54,0.00,70.44
TRO,60961,Amadas Industries - Holland Road,Synthetic Minor,800,Suffolk City,3523,333111,0.00,0.00,0.00,0.00,10.38,0.00,0.00,10.38
TRO,60980,Liebherr Mining and Construction Equipment Inc,Synthetic Minor,700,Newport News City,3531,333120,0.06,0.00,0.07,0.00,10.02,0.01,0.00,10.15
TRO,60995,Stihl Incorporated,Major/Potential Major,810,Virginia Beach City,3546,333991,93.55,0.00,4.42,0.16,26.47,0.46,0.00,125.05
TRO,60996,HRSD - James River Sewage Treatment Plant,True Minor,700,Newport News City,4952,221320,2.10,0.00,2.94,0.11,20.55,0.18,0.00,25.89
TRO,61017,Atlantic Pole Virginia LLC dba Atlantic Pole & Pil,True Minor,175,Southampton County,2491,321114,15.07,0.00,3.64,6.14,12.45,3.64,2.95,43.88
TRO,61018,Wheelabrator Portsmouth Inc - RDF Facility,Major/Potential Major,740,Portsmouth City,4961,221330,246.08,0.00,1275.28,195.09,4.47,10.04,0.15,1731.11
TRO,61019,Hampton/NASA Steam Plant,Major/Potential Major,650,Hampton City,4961,221330,28.21,0.00,104.78,75.80,3.35,1.66,0.00,213.80
TRO,61039,Branscome Inc - Norfolk Westminster,Synthetic Minor,710,Norfolk City,2951,324121,11.76,0.00,2.35,0.31,2.89,5.81,0.00,23.11
TRO,61048,JMS Foodservice LLC - Suffolk,Synthetic Minor,800,Suffolk City,2095,311920,15.44,0.00,50.63,13.46,3.39,3.41,0.00,86.34
TRO,61049,Virginia Renewable Power - Portsmouth LLC,Major/Potential Major,740,Portsmouth City,4911,221112,126.41,0.00,157.25,386.61,0.32,3.03,1.44,675.06
TRO,61078,Basic Construction - Newport News,Synthetic Minor,700,Newport News City,2951,324121,14.26,0.00,2.98,0.36,5.05,7.70,0.00,30.34
TRO,61085,Kinyo Virginia Incorporated,Major/Potential Major,700,Newport News City,3069,326299,2.34,0.00,2.79,0.02,42.35,0.21,0.00,47.71
TRO,61093,Dominion - Southampton Power Station,Major/Potential Major,175,Southampton County,4911,221112,580.19,0.00,281.57,14.30,15.04,14.37,11.12,916.60
TRO,61100,Sonoco Products Company - Suffolk,Synthetic Minor,800,Suffolk City,2655,322219,0.00,0.00,0.00,0.00,19.16,0.00,0.00,19.16
TRO,61108,Dominion - Elizabeth River CT Station,Major/Potential Major,550,Chesapeake City,4911,221112,38.70,0.00,83.30,11.30,2.43,5.75,5.75,147.24
TRO,61115,Mid Atlantic Gin LLC,Synthetic Minor,175,Southampton County,0724,115111,0.00,0.00,0.00,0.00,0.00,12.42,1.99,14.42
TRO,61126,Commonwealth Gin - Isle of Wight,Synthetic Minor,093,Isle of Wight County,0724,115111,0.00,0.00,0.00,0.00,0.00,12.63,0.00,12.63
TRO,61137,Suffolk Energy Partners LLC,Synthetic Minor,800,Suffolk City,4911,221112,70.60,0.00,45.91,5.87,0.53,4.28,4.28,131.47
TRO,61263,Commonwealth Gin - Southampton,Synthetic Minor,175,Southampton County,0724,115111,0.00,0.00,0.00,0.00,0.00,27.02,27.02,54.05
TRO,61269,Suffolk Cotton Gin,Synthetic Minor,800,Suffolk City,0724,115111,0.00,0.00,0.00,0.00,0.00,15.36,0.00,15.36
TRO,61274,"Lyon Shipyard, Incorporated - Brown Ave",Major/Potential Major,710,Norfolk City,3731,336611,0.01,0.00,0.06,0.00,13.17,5.89,0.59,19.73
TRO,61284,Yupo Corporation,Synthetic Minor,550,Chesapeake City,3081,326113,3.33,0.00,3.56,0.03,16.92,1.84,0.00,25.69
TRO,61291,USA Waste of Virginia Landfills - Bethel,Major/Potential Major,650,Hampton City,4953,562212,168.92,0.00,67.50,3.89,9.27,10.29,6.57,266.43
TRO,61336,Flowers Baking Company of Norfolk,Synthetic Minor,710,Norfolk City,2051,311812,0.78,0.00,0.93,0.01,46.10,0.07,0.00,47.89
TRO,61341,SPSA - Regional Landfill,Major/Potential Major,800,Suffolk City,4953,562212,35.71,0.00,6.55,1.41,20.84,1.80,1.80,68.11
TRO,61347,Sorrentino Mariani & Company Incorporated,Synthetic Minor,710,Norfolk City,2511,337122,0.00,0.00,0.00,0.00,21.30,2.41,0.00,23.71
TRO,61355,US Amines LLC - Portsmouth,Synthetic Minor,740,Portsmouth City,2869,325998,0.00,0.00,3.39,0.00,12.04,0.00,0.00,15.44
TRO,61423,INGENCO Wholesale Power LLC - Virginia Beach Landfill II,Major/Potential Major,810,Virginia Beach City,4931,221111,13.35,0.00,12.22,0.80,1.65,0.83,0.80,29.65
TRO,61426,Virginia Paving Company - Trant Ave,Synthetic Minor,710,Norfolk City,2951,324121,34.57,0.00,7.14,0.88,12.44,3.15,0.00,58.18
TRO,61433,Eastman Chemical Resins Incorporated,Major/Potential Major,175,Southampton County,2861,325194,0.00,0.00,0.00,0.00,17.00,0.00,0.00,17.00
TRO,61440,Arkema Inc - Franklin VA Site,Major/Potential Major,175,Southampton County,2869,325199,0.00,0.00,0.00,0.00,95.65,1.51,1.51,98.67
TRO,61485,Lumber Liquidators Production LLC,Synthetic Minor,095,James City County,2426,321113,0.03,0.00,0.03,0.00,0.08,15.61,0.00,15.75
TRO,61579,Royal Fumigation,Major/Potential Major,800,Suffolk City,4959,561710,0.00,0.00,0.00,0.00,22.30,0.00,0.00,22.30
TRO,61583,Nicewood Enterprises - David Nice Builders Div,Synthetic Minor,095,James City County,2491,321114,0.00,0.00,0.00,0.00,14.06,0.00,0.00,14.06
TRO,61653,Enviva Pellets Southampton LLC,Major/Potential Major,175,Southampton County,2499,321999,49.13,0.00,64.66,15.78,173.10,50.53,0.00,353.21
TRO,61673,Franklin Lumber LLC,Major/Potential Major,093,Isle of Wight County,2421,321113,8.15,0.00,9.70,0.00,99.13,11.51,0.00,128.50
