Region,Reg #,Facility Name,Classification,FIPS,County,SIC,NAICS,CO Emissions in Tons,NH3 Emissions in Tons,NO2 Emissions in Tons,PM 10 Emissions in Tons,PM 2.5 Emissions in Tons,SO2 Emissions in Tons,VOC Emissions in Tons,Facility Total
BRRO,30126,Abbott Laboratories Abbott Nutrition Div,Synthetic Minor,031,Campbell County,2023,311514,12.41,0.00,14.51,0.22,2.66,2.26,1.91,33.95
BRRO,30133,TransMontaigne Inc Montvale Piedmont Terminal,Synthetic Minor,019,Bedford County,5171,424710,3.87,0.00,1.55,0.00,30.88,0.00,0.00,36.29
BRRO,30172,Parker Hannifin Corp - Powertrain Division,Synthetic Minor,680,Lynchburg City,3069,326299,0.00,0.00,0.00,0.00,11.60,0.00,0.00,11.60
BRRO,30188,WestRock Converting Company,Synthetic Minor,680,Lynchburg City,2679,322211,23.52,0.00,27.99,0.58,9.60,2.15,2.15,66.00
BRRO,30228,Motiva Enterprise LLC - Montvale Terminal,Synthetic Minor,019,Bedford County,5171,424710,2.06,0.00,0.82,0.00,20.89,0.23,0.23,24.24
BRRO,30229,Blue Ridge Solvents and Coatings Incorporated,Synthetic Minor,089,Henry County,2851,325510,0.03,0.00,0.17,0.20,10.64,0.02,0.01,11.07
BRRO,30230,Tyson Foods Inc Burkeville,Synthetic Minor,135,Nottoway County,2048,311119,0.48,0.00,2.29,6.77,0.02,44.36,0.15,54.06
BRRO,30232,Buckeye Terminals LLC - Montvale Terminal,Synthetic Minor,019,Bedford County,5171,424710,0.00,0.00,0.00,0.00,23.67,0.00,0.00,23.67
BRRO,30239,Delta Star Incorporated,Synthetic Minor,680,Lynchburg City,3612,335311,0.50,0.00,0.59,0.00,14.76,1.58,0.00,17.44
BRRO,30242,DanChem Technologies Inc,Synthetic Minor,590,Danville City,2821,325211,3.30,0.00,5.04,0.03,60.09,2.03,2.01,72.51
BRRO,30253,Pine Products Incorporated,Synthetic Minor,089,Henry County,2421,321113,75.20,0.00,27.57,3.13,69.82,39.84,29.82,245.39
BRRO,30255,Virginia Mirror Company Inc,Synthetic Minor,690,Martinsville City,3231,327215,0.00,0.00,0.00,0.00,59.98,3.27,3.27,66.51
BRRO,30260,BWXT Nuclear Operations Group Inc,Major/Potential Major,031,Campbell County,3443,332410,3.46,0.00,47.48,0.36,18.04,0.36,0.23,69.93
BRRO,30268,Capps Shoe Co,Synthetic Minor,143,Pittsylvania County,3149,316210,0.00,0.00,0.00,0.00,13.39,0.92,0.00,14.31
BRRO,30282,Ferrum College,Synthetic Minor,067,Franklin County,8221,611310,14.33,0.00,33.47,72.84,0.84,4.07,3.82,129.37
BRRO,30284,BFI Bassett,Major/Potential Major,089,Henry County,2511,337122,0.00,0.00,0.00,0.00,26.70,0.11,0.11,26.92
BRRO,30294,CPFilms Inc.,Major/Potential Major,089,Henry County,3083,326130,8.73,0.00,10.39,0.06,284.59,0.79,0.79,305.35
BRRO,30326,ABB Inc,Synthetic Minor,083,Halifax County,3612,335311,4.49,0.00,5.35,0.03,51.55,2.56,0.00,63.99
BRRO,30328,Hanesbrands Inc,Synthetic Minor,141,Patrick County,2241,313220,5.44,0.00,9.44,0.03,27.42,3.79,5.27,51.40
BRRO,30330,Blue Ridge Fiberboard Inc,Synthetic Minor,590,Danville City,2493,321219,14.81,0.00,15.68,0.09,50.85,58.99,58.99,199.42
