site_name,registration_number,issuance_date,program_type,city_or_county,regional_office,permit_url,address,main_parcel,generator_count,generator_capacity_mw,fuel,operating_limits,pollutant_limits,source_file,is_northern_virginia,unverified_fields
"Amazon Data Services, Inc",74150,2026-07-29,Minor NSR,Loudoun County,Northern,,"IAD-114 and IAD-115 Data Centers, 20945 & 20935 Loudoun County Parkway, Ashburn, VA 20147",,,,diesel,p. 8: per year for maintenance checks and readiness testing and no more than 500 hours per year | p. 8: shall not operate more than 35 hours per year for scheduled maintenance checks and | p. 8: operate more than 500 hours per year for all purposes (as provided in Condition 3),p. 10: Nitrogen Oxides (NO as NO ) 38.9 lb/hr 48.06 lb/hr | p. 10: Carbon Monoxide (CO) 4.1 lb/hr 6.09 lb/hr | p. 10: 1.1 lb/hr 1.21 lb/hr,raw/deq_va/741503_DC_Permit.pdf,True,permit_url;generator_count;generator_capacity_mw
,74152,2024-01-30,Minor NSR,Loudoun County,NORTHERN,,"24400 Howling Rooster Ln, Sterling, VA 20166",,,,diesel,p. 10: a. No single unit shall operate more than 500 hours per year | p. 10: b. No single unit shall operate more than 100 hours per year for scheduled maintenance | p. 10: 20 hours per year for scheduled maintenance checks and readiness testing (Scheduled,,raw/deq_va/74152_DC_Permit.pdf,True,site_name;permit_url;generator_count;generator_capacity_mw
"Amazon Data Services, Inc",74153,2024-06-21,Minor NSR,Loudoun County,Northern,,"Amazon Data Services, Inc., IAD-144, IAD-145, and IAD-175, 22945, 22868, and 23005 International Drive, Sterling, VA 20166",,,,diesel,"p. 8: 15, 16, 20 through 22, 24 through 39, and T1) shall not operate more than 100 hours per year | p. 8: more than 500 hours per year for all purposes (as provided in Condition 6) combined | p. 8: through 56, T2, and T3) shall not operate more than 500 hours per year for all purposes (as",,raw/deq_va/74153_DC_Permit.pdf,True,permit_url;generator_count;generator_capacity_mw
Aerospace Data Facility – East,74154,2026-03-02,Minor NSR,Fairfax County,Northern,,"Aerospace Data Facility – East, 7900 Telegraph Road, Fort Belvoir, VA 22060-5928",,,,diesel,p. 11: through EG-22 and EG-70 through EG-73) shall not operate more than 500 hours per year | p. 11: through EG-80) shall not operate more than 500 hours per year for all purposes (as | p. 11: 200 hours per year without the SCR operating,p. 13: Nitrogen Oxides (NO as NO ) 57.43 lb/hr 6.55 lb/hr | p. 13: Carbon Monoxide (CO) 0.97 lb/hr | p. 13: Volatile Organic Compounds (VOC) 0.42 lb/hr,raw/deq_va/741545_DC_Permit.pdf,True,permit_url;generator_count;generator_capacity_mw
Iskandar Ventures LLC (LC1A),74155,2025-02-12,Minor NSR,Loudoun County,Northern,,,,,,diesel,"p. 11: 9 hours per year for scheduled maintenance checks and readiness testing (Scheduled MCRT) | p. 11: 121, 123 through 128, and 137 through 142) shall not operate more than 500 hours per year | p. 11: and FP-3) shall not operate more than 40 hours per year for all purposes (as provided in",p. 13: Nitrogen Oxides (as NO ) 58.51 lb/hr | p. 13: Carbon Monoxide (CO) 14.31 lb/hr | p. 13: Volatile Organic Compounds (VOC) 2.31 lb/hr,raw/deq_va/74155_DC_Permit.pdf,True,permit_url;address;generator_count;generator_capacity_mw
,74156,2018-09-10,Minor NSR,Loudoun County,NORTHERN,,"22260 Cloud Plaza, Sterling, VA 20166",,,,diesel,"p. 7: 2-m) shall not operate more than 135 hours per year for all purposes (as provided in | p. 7: combined, shall not operate more than 672 hours per year for maintenance checks and",,raw/deq_va/74156_DC_Permit.pdf,True,site_name;permit_url;generator_count;generator_capacity_mw
"Compass Datacenters, LLC",74160,2025-11-21,Minor NSR,Loudoun County,Northern,,,,,,diesel,p. 8: hours per year for all purposes (as provided in Condition 3) combined. These annual | p. 8: IADI-II-12-Gen-3E) shall not operate more than 20 hours per year for scheduled,p. 11: 38.00 lb/hr 6.60 lb/hr 94.05 tpy | p. 11: Carbon Monoxide (CO) 5.09 lb/hr 6.49 lb/hr 94.05 tpy | p. 11: Particulate Matter (PM) 0.95 lb/hr 1.03 lb/hr 6.84 tpy,raw/deq_va/741603_DC_Permit.pdf,True,permit_url;address;generator_count;generator_capacity_mw
"QTS Investment Properties Manassas, LLC",74161,2026-03-26,Minor NSR,Prince William County,Northern,,"9400, 9420, 9450, and 9540 Godwin Drive;, 10680 University Blvd; and, 9301 Freedom Center Blvd, Manassas, VA 20110",,,,diesel,p. 9: combined shall not operate more than 500 hours per year for scheduled maintenance | p. 9: shall operate no more than 30 hours per year for scheduled maintenance checks and | p. 9: hours per year for all purposes (as provided in Condition 7) combined,p. 11: 43.0 lb/hr 48.60 lb/hr 29.20 lb/hr 24.09 lb/hr | p. 11: 6.6 lb/hr 11.84 lb/hr 5.00 lb/hr 2.10 lb/hr | p. 11: 1.32 lb/hr 2.27 lb/hr 1.37 lb/hr 0.40 lb/hr,raw/deq_va/741615_DC_Permit.pdf,True,permit_url;generator_count;generator_capacity_mw
"Vantage Data Centers, LLC",74162,2022-04-20,Minor NSR,Loudoun County,NORTHERN,,"45194 Vantage Data Plaza, Sterling, VA 20166",,,,diesel,p. 8: a. No single unit shall operate more than 500 hours per year for all purposes (as provided | p. 8: b. No single unit shall operate more than 29 hours per year for scheduled maintenance,p. 10: Nitrogen Oxides (NO as NO ) 53.48 lb/hr 8.30 lb/hr | p. 10: Carbon Monoxide (CO) 10.34 lb/hr 2.20 lb/hr | p. 10: Volatile Organic Compounds (VOC) 1.25 lb/hr 0.10 lb/hr,raw/deq_va/74162_DC_Permit.pdf,True,permit_url;generator_count;generator_capacity_mw
Hayden Technologies LLC,74163,2025-04-30,Minor NSR,Loudoun County,Northern,,"20491 Goose Landing Lane, Leesburg, VA 20175",,,,diesel,p. 13: hours per year for scheduled maintenance checks and readiness testing (Scheduled | p. 13: hours per year for all purposes (as provided in Condition 12) combined | p. 13: than 100 hours per year for all purposes (as provided in Condition 13) combined,p. 16: Nitrogen Oxides (as NO ) 53.48 lb/hr | p. 16: Carbon Monoxide (CO) 10.34 lb/hr | p. 16: Volatile Organic Compounds (VOC) 1.25 lb/hr,raw/deq_va/74163_DC_Permit.pdf,True,permit_url;generator_count;generator_capacity_mw
,74164,2022-10-03,Minor NSR,Loudoun County,NORTHERN,,"CyrusOne Sterling VIII Facility, 45905 Maries Road, Sterling, Virginia 20166",,,,diesel,"p. 9: i. More than a total of 985 hours per year (combined), calculated monthly as the | p. 9: ii. More than 100 hours per year (combined), for maintenance checks and readiness | p. 9: i. More than a total of 3,150 hours per year (Engine Groups 2 and 2a) (combined)",,raw/deq_va/74164_DC_Permit.pdf,True,site_name;permit_url;generator_count;generator_capacity_mw
,74167,2022-08-05,Minor NSR,Prince William County,NORTHERN,,,,,,diesel,"p. 8: 35, T1, and T2) shall not operate more than 100 hours per year for Scheduled MCRT | p. 8: and 6.d) and no more than 500 hours per year for all purposes (as provided in Condition 6) | p. 8: operate more than 33 hours per year for Scheduled MCRT (as provided in Condition 6.c)",p. 10: 48.06 lb/hr 38.85 lb/hr 9.58 lb/hr 30.75 lb/hr | p. 10: 6.09 lb/hr 3.95 lb/hr 1.59 lb/hr 5.78 lb/hr | p. 10: 1.21 lb/hr 1.14 lb/hr 0.33 lb/hr 0.87 lb/hr,raw/deq_va/74167_DC_Permit.pdf,True,site_name;permit_url;address;generator_count;generator_capacity_mw
"Aligned Energy, LLC",74169,2022-07-18,Minor NSR,Loudoun County,NORTHERN,,"21890 UUNET Drive, Ashburn, Virginia 20147 (Building 1), 21821 UUNET Drive, Ashburn, Virginia 20147 (Building 2)",,,,diesel,p. 9: shall not operate more than 20 hours per year for scheduled maintenance checks and | p. 9: shall not operate more than 500 hours per year for all purposes (as provided in Condition | p. 9: shall not operate more than a total of 80 hours per year all purposes (as provided in,p. 11: 35.72 lb/hr 42.61 lb/hr 58.11 lb/hr 58.51 lb/hr | p. 11: Monoxide 4.80 lb/hr 6.09 lb/hr 11.62 lb/hr 7.64 lb/hr | p. 12: 1.17 lb/hr 1.21 lb/hr 0.58 lb/hr 0.85 lb/hr,raw/deq_va/74169_DC_Permit.pdf,True,permit_url;generator_count;generator_capacity_mw
"Amazon Data Services, Inc",74170,2025-08-08,Minor NSR,Loudoun County,Northern,,"IAD-116, IAD-117, and IAD-128 Data Centers, 45771, 45761, and 45781 Maries Road, Sterling, VA 20166",,,,diesel,p. 10: shall not operate more than 100 hours per year for maintenance checks and readiness | p. 10: testing and no more than 500 hours per year for all purposes (as provided in | p. 10: hours per year for scheduled maintenance checks and readiness testing and no more,p. 12: 48.06 lb/hr 14.34 lb/hr 38.85 lb/hr | p. 12: 6.09 lb/hr 4.73 lb/hr 3.95 lb/hr | p. 12: 1.21 lb/hr 1.91 lb/hr 1.14 lb/hr,raw/deq_va/74170_DC_Permit.pdf,True,permit_url;generator_count;generator_capacity_mw
Amazon Data Services,74171,2026-03-30,Minor NSR,Prince William County,Northern,,"IAD-130, IAD-131, IAD-313, and DCA-072, 9001, 9040 and 9020 Freedom Center Blvd.,, 8924 Wellington Rd, Manassas, Virginia 20110",,,,diesel,p. 10: 2) shall not operate more than 32 hours per year for scheduled maintenance checks | p. 10: operate more than 35 hours per year for scheduled maintenance checks and readiness | p. 10: and T-2) shall not operate more than 500 hours per year for all purposes (as provided,p. 13: 48.06 lb/hr 11.88 lb/hr 30.75 lb/hr 38.85 lb/hr | p. 13: 0.40 lb/hr 0.47 lb/hr 0.44 lb/hr 0.57 lb/hr | p. 13: 6.09 lb/hr 2.37 lb/hr 5.78 lb/hr 3.92 lb/hr,raw/deq_va/741714_DC_Permit.pdf,True,permit_url;generator_count;generator_capacity_mw
Remington Technology Park Limited Partnership,74172,2022-12-06,Minor NSR,Fauquier County,NORTHERN,,"Remington Technology Park, 12270 Lucky Hill Rd., Remington, VA 22734",,,,,"p. 8: not operate more than 2,000 hours per year each, calculated monthly as the sum of each | p. 9: gas engine-generator sets (Ref. Nos. Gen 1 – Gen 24) operating for 2,000 hours per year",p. 9: Nitrogen Oxides (as NO ) 7.60 lb/hr 0.76 lbs/hr | p. 9: Carbon Monoxide (CO) 11.71 lb/hr 0.84 lbs/hr | p. 9: Volatile Organic Compounds* (VOC) 3.50 lb/hr 1.27 lbs/hr,raw/deq_va/74172_DC_Permit.pdf,True,permit_url;generator_count;generator_capacity_mw
,74173,2025-11-06,Minor NSR,Loudoun County,Northern,,,,,,diesel,"p. 12: more than 500 hours per year for all purposes (as provided in Condition 10), calculated | p. 12: than 18 hours per year for scheduled maintenance checks and readiness testing | p. 12: c. No single unit (Engine Group 5) shall operate more than 22 hours per year for",,raw/deq_va/741736_DC_Permit.pdf,True,site_name;permit_url;address;generator_count;generator_capacity_mw
"Vadata, Inc",74174,2019-06-12,Minor NSR,Loudoun County,NORTHERN,,"Vadata IAD-150, IAD-151, and IAD-152, 25430,25420 and 25390 Sutton Bay Plaza, Chantilly, Virginia 20152",,,,diesel,p. 8: than 100 hours per year for planned non-emergency operation and no more than 500 hours,,raw/deq_va/74174_DC_Permit.pdf,True,permit_url;generator_count;generator_capacity_mw
,74181,2020-03-19,Minor NSR,Loudoun County,NORTHERN,,"IAD-146a nd IAD-147D ata Centers, 22370 & 22420 Kipper Drive, Sterling, VA 20166",,,,diesel,p. 8: 44) shall not operate more than 26 hours per year for scheduled maintenaii ce,,raw/deq_va/74181_DC_Permit.pdf,True,site_name;permit_url;generator_count;generator_capacity_mw
"Amazon Data Services, Inc",74184,2022-08-01,Minor NSR,Loudoun County,NORTHERN,,"IAD-140 and IAD-141 at 22890 and 22900 Platform Plaza;, IAD-142 and IAD-143 at 45775 and 45795 Optics Plaza; and, IAD-603 and IAD-608 at 22940 and 22855 Platform Plaza,, Sterling, VA 20166",,,,diesel,p. 8: 108) shall not operate more than 32 hours per year for scheduled maintenance checks and | p. 8: shall not operate more than 500 hours per year for all purposes (as provided in Condition 6),p. 10: 48.06 lb/hr 38.85 lb/hr 14.34 lb/hr | p. 10: Carbon Monoxide (CO) 6.01 lb/hr 3.95 lb/hr 4.73 lb/hr | p. 10: 1.20 lb/hr 1.13 lb/hr 1.91 lb/hr,raw/deq_va/74184_DC_Permit.pdf,True,permit_url;generator_count;generator_capacity_mw
"Equinix, LLC",74189,2025-10-17,Minor NSR,Loudoun County,Northern,,,,,,diesel,p. 9: 22Z) shall operate more than 500 hours per year for all purposes (as provided in | p. 9: b. No single unit (Engine Group DC-21-3250) shall operate more than 36 hours per year | p. 9: operate more than 36 hours per year for scheduled maintenance checks and,,raw/deq_va/741895_DC_Permit.pdf,True,permit_url;address;generator_count;generator_capacity_mw
"Amazon Data Services, Inc",74190,2020-02-19,Minor NSR,,NORTHERN,,,,,,diesel,"p. 7: EG-POD 17) shall not operate more than 500 hours per year, calculated monthly as the sum | p. 7: DEF for more than 100 hours per year, calculated monthly as the sum of each consecutive | p. 7: 1 through EG-POD 17) shall not operate more than 32 hours per year for scheduled",p. 8: NO ) (lb/hr) (lb/hr) (lb/hr) (lb/hr) (lb/hr) (lb/hr) | p. 9: NO ) (lb/hr) (lb/hr) (lb/hr) (lb/hr) (lb/hr) (lb/hr),raw/deq_va/74190_DC_Permit.pdf,True,city_or_county;permit_url;address;generator_count;generator_capacity_mw
"QTS Shellhorn, LLC",74197,2022-02-04,Minor NSR,Loudoun County,NORTHERN,,"Ashburn-Shellhorn DC1 and DC2, 22291 and 22271 Shellhorn Road, Ashburn, VA 20147",,,,diesel,p. 8: 65) shall not operate more than 30 hours per year for scheduled maintenance and readiness | p. 8: more than 500 hours per year for all purposes (as provided in Condition 6) combined,p. 10: Nitrogen Oxides (NO as NO ) 44.35 lb/hr | p. 10: Carbon Monoxide (CO) 9.37 lb/hr | p. 10: Volatile Organic Compounds (VOC) 2.20 lb/hr,raw/deq_va/74197_DC_Permit.pdf,True,permit_url;generator_count;generator_capacity_mw
"Amazon Data Services, Inc",74198,2024-07-16,Minor NSR,Fauquier County,Northern,,"7471 Bear Wallow Road, Warrenton, VA 20186",,,,diesel,"p. 10: operate more than 500 hours per year, calculated monthly as the sum of each | p. 10: and EG-POD 18) shall not operate more than 51 hours per year for scheduled | p. 10: no more than 500 hours per year for all purposes (as provided in Condition 7)",p. 12: (lb/hr) (lb/hr) (lb/hr) | p. 12: (lb/hr) | p. 13: (lb/hr) (lb/hr) (lb/hr),raw/deq_va/74198_DC_Permit.pdf,True,permit_url;generator_count;generator_capacity_mw
Microsoft Corporation,74201,2023-02-08,Minor NSR,Fauquier County,NORTHERN,,"7471 Bear Wallow Road, Warrenton, VA 20186",,,,diesel,"p. 10: combined shall not operate more than 240 hours per year when emissions are | p. 10: combined shall not operate more than 760 hours per year when emissions are controlled | p. 10: 380 hours per year when emissions are uncontrolled, calculated monthly as the sum of",p. 12: with SCR (lb/hr) (lb/hr) (lb/hr) (lb/hr) | p. 12: (lb/hr),raw/deq_va/74201_DC_Permit.pdf,True,permit_url;generator_count;generator_capacity_mw
"Amazon Data Services, Inc",74205,2026-06-16,Minor NSR,Loudoun County,Northern,,"IAD-120, IAD-121, IAD-122, and IAD-619 Data Centers, 23825, 23835, and 23845 Erins Run Drive, Sterling, VA 20166",,,,diesel,p. 8: 54) shall not operate more than 32 hours per year for scheduled maintenance checks and | p. 8: not operate more than 500 hours per year for all purposes (as provided in Condition 6),p. 10: 48.06 lb/hr 38.85 lb/hr 9.58 lb/hr 30.75 lb/hr | p. 10: 6.09 lb/hr 3.95 lb/hr 1.59 lb/hr 5.78 lb/hr | p. 10: 1.21 lb/hr 1.14 lb/hr 0.32 lb/hr 0.87 lb/hr,raw/deq_va/742054_DC_Permit.pdf,True,permit_url;generator_count;generator_capacity_mw
"Amazon Data Services, Inc",74207,2024-07-16,Minor NSR,Fairfax County,Northern,,"7900 Telegraph Road, Fort Belvoir, VA 22060-5928",,,,diesel,"p. 9: EG-245) shall operate more than 500 hours per year or a combined 1,950 hours per year | p. 9: shall not operate more than 26 hours per year for scheduled MCRT (as provided in | p. 9: shall not operate more than 35 hours per year for scheduled MCRT (as provided in",p. 11: Nitrogen Oxides (as NO ) 38.85 lb/hr 48.07 lb/hr 38.85 lb/hr | p. 11: Carbon Monoxide (CO) 2.33 lb/hr 4.03 lb/hr 3.95 lb/hr | p. 11: 0.85 lb/hr 0.96 lb/hr 1.13 lb/hr,raw/deq_va/74207_DC_Permit.pdf,True,permit_url;generator_count;generator_capacity_mw
"Digital Realty/Digital Western Lands, LLC",74212,2025-10-10,Minor NSR,Loudoun County,Northern,,,,,,diesel,p. 11: PBB750-1 through PBB750-6) shall not operate more than 500 hours per year for all,,raw/deq_va/742123_DC_Permit.pdf,True,permit_url;address;generator_count;generator_capacity_mw
"Amazon Data Services, Inc",74214,2024-07-09,Minor NSR,Loudoun County,Northern,,"IAD-161, IAD-162, IAD-606, IAD-285, IAD-286, IAD-299, and, IAD-611 Data Centers, 44254, 44305 & 44351 Import Plaza, Ashburn, VA 20147;, 22275, 22285 & 22295 Lockridge Rd, Sterling, VA 20166",,,,diesel,"p. 10: 53, 150 through 153, S1, and S2) shall not operate more than 32 hours per year for | p. 10: S1, S2, T1, and T2) shall not operate more than 500 hours per year for all purposes (as",p. 12: x 48.06 lb/hr 30.75 lb/hr 9.51 lb/hr 38.85 lb/hr 19.40 lb/hr | p. 12: 6.01 lb/hr 5.78 lb/hr 1.59 lb/hr 3.95 lb/hr 2.79 lb/hr | p. 12: 1.20 lb/hr 0.87 lb/hr 0.33 lb/hr 1.13 lb/hr 0.34 lb/hr,raw/deq_va/74214_DC_Permit.pdf,True,permit_url;generator_count;generator_capacity_mw
Nova Mango Farms LLC,74216,2024-02-27,Minor NSR,Prince William County,NORTHERN,,"13001 Rollins Ford Road, Bristow, VA 20136",,,,diesel,p. 8: hours per year for scheduled maintenance checks and readiness testing (Scheduled MCRT) | p. 8: more than 500 hours per year for all purposes (as provided in Condition 6) combined | p. 9: not operate more than 28 hours per year for scheduled maintenance checks and readiness,p. 11: Oxides (NO 52.91 lb/hr 34.19 lb/hr 5.92 lb/hr 2.89 lb/hr 53.36 lb/hr 33.81 lb/hr | p. 11: Monoxide 10.22 lb/hr 5.88 lb/hr 5.18 lb/hr 2.53 lb/hr 12.09 lb/hr 5.52 lb/hr | p. 11: 0.89 lb/hr 0.89 lb/hr 1.92 lb/hr 0.94 lb/hr 2.35 lb/hr 1.39 lb/hr,raw/deq_va/74216_DC_Permit.pdf,True,permit_url;generator_count;generator_capacity_mw
Microsoft Corporation,74220,2025-03-07,Minor NSR,Loudoun County,Northern,,"Leesburg (IAD01-02-03-04-05) Data Center, 19515 Compass Creek Parkway, Leesburg, VA 20175",,,,diesel,"p. 9: 201, EG-401, and EG-501) shall not operate more than 500 hours per year for all purposes | p. 9: more than 500 hours per year for all purposes (as provided in Condition 6) combined",,raw/deq_va/74220_DC_Permit.pdf,True,permit_url;generator_count;generator_capacity_mw
Microsoft Corporation,74221,2025-07-21,Minor NSR,Loudoun County,Northern,,"Microsoft Blue Ridge (IAD11-12-13) Data Center, 41840 Growth Mindset Lane, Aldie, Virginia 20105",,,,diesel,p. 9: through EG-59) shall not operate more than 36 hours per year for scheduled maintenance | p. 9: not operate more than 500 hours per year for all purposes (as provided in Condition 6) | p. 9: hours per year for all purposes,,raw/deq_va/74221_DC_Permit.pdf,True,permit_url;generator_count;generator_capacity_mw
"SI NVA02D, LLC",74224,2023-10-16,Minor NSR,Prince William County,NORTHERN,,,,,,diesel,"p. 7: through EG-44) shall not operate more than 500 hours per year for all purposes (as | p. 8: more than 3,390 hours per year for all purposes (as provided in Condition 6) combined | p. 8: not operate more than 18 hours per year for scheduled maintenance checks and readiness",,raw/deq_va/74224_DC_Permit.pdf,True,permit_url;address;generator_count;generator_capacity_mw
"Amazon Data Services, Inc",74227,2024-06-21,Minor NSR,Loudoun County,Northern,,,,,,diesel,"p. 8: 52, 79, 81, T1, and T2) shall not operate more than 29 hours per year for scheduled | p. 8: operate more than 35 hours per year for scheduled maintenance checks and readiness | p. 8: not operate more than 500 hours per year for all purposes (as provided in Condition 4)",,raw/deq_va/74227_DC_Permit.pdf,True,permit_url;address;generator_count;generator_capacity_mw
"QTS Investment Properties Ashburn II, LLC",74232,2024-08-05,Minor NSR,Loudoun County,Northern,,"ASH2 Lockridge, 44675 and 44655 Quality Tech Lane, Sterling, VA 20166",,,,diesel,p. 8: 62) shall not operate more than 30 hours per year for scheduled maintenance checks and | p. 8: more than 500 hours per year for all purposes (as provided in Condition 6) combined,p. 9: Nitrogen Oxides (NO as NO ) 44.35 lb/hr 30.74 lb/hr 30.74 lb/hr | p. 9: Carbon Monoxide (CO) 9.37 lb/hr 4.31 lb/hr 4.31 lb/hr | p. 9: Volatile Organic Compounds (VOC) 2.20 lb/hr 1.35 lb/hr 1.35 lb/hr,raw/deq_va/74232_DC_Permit.pdf,True,permit_url;generator_count;generator_capacity_mw
,74234,2025-10-31,Minor NSR,Loudoun County,Northern,,"(LC4), 22210 Loudoun County Parkway, (LC8) 22190 Loudoun County Parkway, (LC11) 22235 Loudoun County Parkway, Ashburn, VA 20147",,,,diesel,p. 10: operate more than 120 hours per year for all purposes combined,p. 12: 4.85 lb/hr* 74.68 lb/hr 4.85 lb/hr* 74.68 lb/hr | p. 12: 20.44 lb/hr 2.04 lb/hr** 20.44 lb/hr | p. 12: 1.82 lb/hr 0.18 lb/hr** 1.82 lb/hr,raw/deq_va/742342_DC_Permit.pdf,True,site_name;permit_url;generator_count;generator_capacity_mw
Cologix,74235,2025-07-23,Minor NSR,Loudoun County,Northern,,"21745 Beaumeade Cir, Ashburn, VA 20147",,,,diesel,p. 8: 75) shall not operate more than 13 hours per year for scheduled maintenance checks and | p. 8: more than 500 hours per year for all purposes (as provided in Condition 6) combined,p. 9: Nitrogen Oxides (NO as NO ) 44.35 lb/hr | p. 9: Volatile Organic Compounds (VOC) 2.20 lb/hr | p. 9: Particulate Matter (PM ) 0.92 lb/hr,raw/deq_va/74235_DC_Permit.pdf,True,permit_url;generator_count;generator_capacity_mw
Gainesville (MNZ03) Data Center,74236,2024-08-05,Minor NSR,Prince William County,Northern,,"Gainesville (MNZ03) Data Center, 13050 Hansen Farm Road, Bristow, VA 20136",,,,diesel,p. 7: EG-21) shall not operate more than 21 hours per year for scheduled maintenance checks | p. 7: operate more than 500 hours per year for all purposes (as provided in Condition 6),p. 9: x 14.74 lb/hr 57.89 lb/hr 0.93 lb/hr | p. 9: Carbon Monoxide (CO) 1.55 lb/hr 7.46 lb/hr 0.57 lb/hr | p. 9: 0.24 lb/hr 0.85 lb/hr 0.06 lb/hr,raw/deq_va/74236_DC_Permit.pdf,True,permit_url;generator_count;generator_capacity_mw
Microsoft,74237,2024-01-17,Minor NSR,Prince William County,NORTHERN,,"Manassas (MNZ01) Data Center, 11316 Balls Ford Road, Manassas, Virginia 20109",,,,diesel,p. 7: through EG-21) shall not operate more than 21 hours per year for scheduled maintenance | p. 7: not operate more than 500 hours per year for all purposes (as provided in Condition 6),,raw/deq_va/74237_DC_Permit.pdf,True,permit_url;generator_count;generator_capacity_mw
"Amazon Data Services, Inc",74239,2026-07-29,Minor NSR,Fairfax County,Northern,,"IAD134, IAD135, and IAD136, 3980, 3980A, 3960, and 3940 Virginia Mallory Drive, Chantilly, VA 20151",,,,diesel,"p. 8: 67, T1, and T2) shall not operate more than 32 hours per year for scheduled maintenance | p. 8: 35 hours per year for scheduled maintenance checks and readiness testing (Scheduled | p. 8: not operate more than 500 hours per year for all purposes (as provided in Condition 3)",,raw/deq_va/742392_DC_Permit.pdf,True,permit_url;generator_count;generator_capacity_mw
"Amazon Data Services, Inc",74240,2024-03-08,Minor NSR,Prince William County,NORTHERN,,"IAD-104, IAD-105, IAD-106, and IAD-107, 9680, 9700, 9720, and 9740 Innovation Drive, Manassas, VA 20110",,,,diesel,"p. 9: 108, T1, and T2) shall not operate more than 32 hours per year for scheduled maintenance | p. 9: shall not operate more than 500 hours per year for all purposes (as provided in Condition 7)",,raw/deq_va/74240_DC_Permit.pdf,True,permit_url;generator_count;generator_capacity_mw
GCDC Purchaser Phase 1 LLC (Building 1),74241,2026-07-29,Minor NSR,Prince William County,,,"Building 1 – 13760 University Blvd, Gainesville, VA 20155",,,,diesel,p. 8: operate more than 17 hours per year for scheduled maintenance checks and readiness | p. 8: operate more than 500 hours per year for all purposes (as provided in Condition 6) | p. 25: operate more than 17 hours per year for scheduled maintenance checks and readiness,p. 10: X 43.46 lb/hr 22.14 tpy | p. 10: Carbon Monoxide (CO) 6.95 lb/hr 10.93 tpy | p. 10: 2.58 lb/hr 11.08 tpy,raw/deq_va/742414_DC_Permit.pdf,True,regional_office;permit_url;generator_count;generator_capacity_mw
"Vantage Data Centers VA2, LLC",74242,2023-09-15,Minor NSR,Loudoun County,NORTHERN,,"Vantage Data Centers VA2, LLC, 22318 Glenn Drive, Sterling, VA 20167",,,,diesel,p. 11: shall not operate more than 29 hours per year for scheduled maintenance checks and | p. 11: not operate more than 500 hours per year for all purposes (as provided in Condition 5),p. 13: Nitrogen Oxides (NO as NO ) 53.48 lb/hr | p. 13: Carbon Monoxide (CO) 10.34 lb/hr | p. 13: Volatile Organic Compounds (VOC) 0.89 lb/hr,raw/deq_va/74242_DC_Permit.pdf,True,permit_url;generator_count;generator_capacity_mw
"Amazon Data Services, Inc",74244,2024-08-27,Minor NSR,Loudoun County,Northern,,"IAD-169 and IAD-179, 21320 and 21310 Beaumeade Circle, Ashburn, VA 20147",,,,diesel,"p. 8: 16, 18, 37, T1, and T2) shall not operate more than 32 hours per year for scheduled | p. 8: through 36, and 38) shall not operate more than 35 hours per year for scheduled | p. 8: shall not operate more than 500 hours per year for all purposes (as provided in",,raw/deq_va/74244_DC_Permit.pdf,True,permit_url;generator_count;generator_capacity_mw
"SI NVA05A, LLC",74246,2025-02-24,Minor NSR,Prince William County,Northern,,"9101 Freedom Center Boulevard, Manassas, VA 20110",,,,diesel,"p. 8: 21) shall not operate more than 500 hours per year for all purposes (as provided in | p. 8: operate more than 1,701 hours per year combined for all purposes (as provided in | p. 8: 82 hours per year for all purposes (as provided in Condition 4) combined",,raw/deq_va/74246_DC_Permit.pdf,True,permit_url;generator_count;generator_capacity_mw
"Aligned Data Centers (Relo) Propco, LLC",74247,2023-01-06,Minor NSR,Loudoun County,NORTHERN,,,,,,diesel,p. 7: not operate more than 32 hours per year for scheduled maintenance checks and readiness | p. 7: 500 hours per year for all purposes (as provided in Condition 3) combined,,raw/deq_va/74247_DC_Permit.pdf,True,permit_url;address;generator_count;generator_capacity_mw
"Amazon Data Services, Inc",74250,2025-06-24,Minor NSR,Loudoun County,Northern,,"IAD-156: 43920 Lone Cedar Lane,, IAD-157 & IAD-158: 25190 & 25410 Meadowdale Drive, IAD-159 and IAD-327: TBD, Chantilly, VA 20152",,,,diesel,"p. 9: shall not operate more than 32 hours per year for Scheduled MCRT, as provided in | p. 9: not operate more than 35 hours per year for Scheduled MCRT, as provided in | p. 10: 138, T1, and T2) shall not operate more than 500 hours per year for all purposes (as",,raw/deq_va/74250_DC_Permit.pdf,True,permit_url;generator_count;generator_capacity_mw
"Amazon Data Services, Inc",74252,2026-04-06,Minor NSR,Loudoun County,Northern,,"IAD-215, 44725 Gigabit Plaza, Ashburn, VA 20147",,,,diesel,"p. 8: 8, 10, 12, 14, 16, 18, 20, 22, 23, T1, and T2) shall not operate more than 32 hours per year | p. 8: and 21) shall not operate more than 35 hours per year for scheduled maintenance checks | p. 8: not operate more than 500 hours per year for all purposes (as provided in Condition 3)",,raw/deq_va/74252_DC_Permit.pdf,True,permit_url;generator_count;generator_capacity_mw
