deq_site_name,deq_registration_number,landmarc_project_id,landmarc_project_name,name_confidence,address_confidence,parcel_confidence,overall_confidence,confidence_basis,review_status
"Amazon Data Services, Inc",74329,lm-75ee4f107a53,UNIVERSITY CENTER PROJECT,0.32653061224489793,,,0.32653061224489793,name,unreviewed
,74332,lm-08f1d706e347,,,0.6086956521739131,,0.6086956521739131,address,unreviewed
,74332,lm-cd0809347950,,,0.6086956521739131,,0.6086956521739131,address,unreviewed
,74332,lm-41a57fb30dc6,,,0.5833333333333334,,0.5833333333333334,address,unreviewed
"SDC Ashburn I, LLC",74335,lm-6c73a56502ac,,,0.9743589743589743,,0.9743589743589742,address,unreviewed
"SDC Ashburn I, LLC",74335,lm-bfc5ae4c96d6,,,0.9743589743589743,,0.9743589743589742,address,unreviewed
"SDC Ashburn I, LLC",74335,lm-eeab6951e403,,,0.7567567567567568,,0.7567567567567568,address,unreviewed
"13832 Redskin Acquisition, LP",74336,lm-4e3b786cb754,,,0.3522012578616352,,0.3522012578616352,address,unreviewed
"13832 Redskin Acquisition, LP",74336,lm-0a5b99d1f304,,,0.31446540880503143,,0.31446540880503143,address,unreviewed
"13832 Redskin Acquisition, LP",74336,lm-d949647a72a6,,,0.31446540880503143,,0.31446540880503143,address,unreviewed
"Amazon Data Services, Inc",74337,lm-6979321bd4f2,,,0.6097560975609756,,0.6097560975609756,address,unreviewed
"Amazon Data Services, Inc",74337,lm-7a75075c4427,,,0.6097560975609756,,0.6097560975609756,address,unreviewed
"Amazon Data Services, Inc",74337,lm-17cee8b05ece,,,0.5609756097560976,,0.5609756097560976,address,unreviewed
"Vantage Data Centers VA41, LLC",74338,lm-c18871dc0388,,,0.6428571428571429,,0.6428571428571429,address,unreviewed
"Vantage Data Centers VA41, LLC",74338,lm-099d09e96cbd,,,0.6352941176470588,,0.6352941176470588,address,unreviewed
"Vantage Data Centers VA41, LLC",74338,lm-23bc2187cf64,,,0.6190476190476191,,0.6190476190476191,address,unreviewed
"Amazon Data Services, Inc",74342,lm-1943bce07f9c,SILVER DISTRICT WEST PROJECT,0.38461538461538464,,,0.38461538461538464,name,unreviewed
"Amazon Data Services, Inc",74342,lm-1e287191725e,TUSCARORA CROSSING PROJECT,0.36,,,0.36,name,unreviewed
"Amazon Data Services, Inc",74342,lm-80adaa2ffb6c,,,0.34285714285714286,,0.34285714285714286,address,unreviewed
"DataBank Holdings Ltd – Data Center Culpeper, LLC",74348,lm-6db89be46e9d,,,0.5,,0.5,address,unreviewed
"DataBank Holdings Ltd – Data Center Culpeper, LLC",74348,lm-268d6d65f129,,,0.48717948717948717,,0.4871794871794871,address,unreviewed
"DataBank Holdings Ltd – Data Center Culpeper, LLC",74348,lm-ddaac9d77e45,,,0.4819277108433735,,0.4819277108433735,address,unreviewed
"Amazon Data Services, Inc",74349,lm-2f43c0a83220,,,0.5393258426966292,,0.5393258426966292,address,unreviewed
"Amazon Data Services, Inc",74349,lm-0e005ed279fd,,,0.4943820224719101,,0.49438202247191004,address,unreviewed
"Amazon Data Services, Inc",74349,lm-4e3b786cb754,,,0.4943820224719101,,0.49438202247191004,address,unreviewed
